Date,Close,High,Low,Open,Volume
2024-08-20,525.1956787109375,526.9777427827796,519.4912436210581,526.1008102656082,972200
2024-08-21,522.1312866210938,528.0054336530354,521.7069774465258,526.487404708677,883100
2024-08-22,525.2144775390625,526.2987591459333,521.6692260073143,522.527224758805,774500
2024-08-23,523.3099365234375,526.9494541064818,521.2073241074148,526.1291498209008,870400
2024-08-26,526.223388671875,528.1469083197028,524.3470592499693,524.3470592499693,795400
2024-08-27,528.4014282226562,530.0797888297476,525.2050962216117,527.4962967033745,749600
2024-08-28,531.7675170898438,536.2462145501283,529.693219042217,530.0892140723391,829300
2024-08-29,534.4736938476562,536.0954840148767,530.8436140006697,531.7864978621274,662300
2024-08-30,535.6522216796875,536.5857249095621,530.419228510602,532.7009910136105,1082800
2024-09-03,537.8045654296875,542.3367076523253,535.8798690945489,537.9089049315443,1266900
2024-09-04,544.9725341796875,548.7176449878275,539.2267439281484,539.814644612676,941700
2024-09-05,539.103515625,546.053347475398,535.1402353270138,545.3707137342677,841000
2024-09-06,537.2451171875,542.4409111337237,535.6522473179263,539.539602108798,976700
2024-09-09,546.669677734375,548.0255124557469,538.051050354263,538.0795223625823,810200
2024-09-10,542.5167846679688,547.8832371026084,540.8385566304357,547.6082970541146,756400
2024-09-11,537.55810546875,542.7254282310445,531.9735404326107,541.5782145227646,809200
2024-09-12,538.8001098632812,539.4637622738312,534.656738282312,535.6996702445488,739400
2024-09-13,540.3550415039062,542.7728474825516,535.2540958842869,537.5959765052496,638800
2024-09-16,543.208984375,547.0774162777395,539.4827967856467,544.6217053588838,597700
2024-09-17,537.60546875,538.6484007623219,534.372275345915,537.2735846588522,739900
2024-09-18,536.1641845703125,540.0041436147455,533.1206893391345,536.9511577154447,731700
2024-09-19,535.8703002929688,538.0984662687014,533.0068960782518,537.0933812969713,917500
2024-09-20,542.2608032226562,543.7588822579166,533.7465152673199,533.8792689006835,3794400
2024-09-23,550.4053955078125,551.5810812046923,541.2179059959827,541.8626349952414,884500
2024-09-24,548.622802734375,551.0215692464128,546.2714316958688,548.9072334454958,690100
2024-09-25,547.9685668945312,553.477263337751,546.9445584949685,551.4008324033226,844500
2024-09-26,547.4566650390625,552.3206332517909,544.6501466998276,545.1811033726626,746200
2024-09-27,552.159423828125,553.7807659033112,545.4940221477926,547.6937163912842,848100
2024-09-30,554.2452392578125,554.6150280956394,549.1727086176122,553.8470362854985,974900
2024-10-01,574.4407348632812,579.7787737177371,551.7327446595574,555.724439398004,2356200
2024-10-02,571.9186401367188,578.3659871075378,570.2309214459525,573.5683961522299,1192500
2024-10-03,574.4027709960938,577.4178523447334,569.8327245635219,573.0943318242402,856600
2024-10-04,573.7485961914062,574.8484143427528,568.2398990251432,572.3547987604575,559800
2024-10-07,574.1373901367188,579.8736905799944,572.6772735505813,575.5216970947067,1102200
2024-10-08,576.5171508789062,579.0771432745742,571.8144083321343,575.7301776079184,571800
2024-10-09,573.7296142578125,575.6543683580963,571.7480318795226,575.2466746528498,543800
2024-10-10,566.5046997070312,575.7964689961043,565.3005422400742,574.677669673311,853700
